,Price,Area,Location,No. of Bedrooms,Lift Available,Car Parking
135,16000000,800,Andheri West,2,0,0
136,110000000,3000,Andheri West,4,1,0
137,21700000,707,Andheri West,2,1,0
138,27799999,944,Andheri West,3,1,0
139,26000000,923,Andheri West,2,1,0
140,22200000,930,Andheri West,2,1,0
141,25200000,1250,Andheri West,2,1,0
142,10500000,420,Andheri West,1,1,1
143,27000000,1550,Andheri West,3,1,0
144,26000000,1250,Andheri West,3,1,0
145,67000000,2500,Andheri West,4,1,1
146,42500000,1850,Andheri West,3,1,1
147,30000000,1450,Andheri West,2,1,1
148,39000000,1147,Andheri West,3,1,0
149,20900000,667,Andheri West,2,1,1
150,59000000,2250,Andheri West,3,1,0
151,38000000,1350,Andheri West,2,1,0
152,22000000,1250,Andheri West,2,1,0
153,23000000,1250,Andheri West,2,1,0
154,36000000,1900,Andheri West,3,1,1
155,24000000,1300,Andheri West,2,1,1
156,28000000,1003,Andheri West,2,1,1
157,31700000,1166,Andheri West,2,1,1
158,39000000,1509,Andheri West,3,1,1
159,25000000,1250,Andheri West,2,1,0
160,51500000,1640,Andheri West,3,0,0
161,25000000,1100,Andheri West,2,1,0
162,63900000,2780,Andheri West,4,1,1
163,51900000,2260,Andheri West,3,1,1
164,47600000,2070,Andheri West,3,1,1
165,34000000,1864,Andheri West,3,0,1
166,23200000,1264,Andheri West,2,1,1
167,23200000,1264,Andheri West,2,0,1
168,33000000,944,Andheri West,3,0,0
169,25000000,713,Andheri West,2,0,0
170,24800000,708,Andheri West,2,0,0
171,21500000,1100,Andheri West,2,1,1
172,22200000,926,Andheri West,2,1,0
173,19900000,934,Andheri West,2,1,1
174,22200000,960,Andheri West,2,1,0
175,22200000,810,Andheri West,2,1,0
176,26700000,1127,Andheri West,3,1,0
177,22200000,890,Andheri West,2,1,0
178,47500000,1632,Andheri West,3,1,0
179,30500000,1250,Andheri West,2,1,1
180,32900000,1250,Andheri West,2,1,0
181,26000000,1250,Andheri West,2,1,1
182,36000000,1850,Andheri West,3,1,1
183,42000000,1850,Andheri West,3,1,0
184,19000000,900,Andheri West,2,1,0
185,55000000,2050,Andheri West,4,1,0
186,37800000,1650,Andheri West,3,1,0
187,25500000,1200,Andheri West,2,1,1
188,70000000,2400,Andheri West,4,1,0
189,36800000,1600,Andheri West,3,1,0
190,42500000,1850,Andheri West,3,1,0
191,38000000,1850,Andheri West,3,1,1
192,37000000,1650,Andheri West,3,1,0
193,28000000,1250,Andheri West,2,1,1
194,43000000,1950,Andheri West,4,1,0
195,40000000,1500,Andheri West,3,1,0
196,21700000,954,Andheri West,2,1,0
